,name,R,P,Dice
0,14_0.png,0.7482,0.8465,0.7943
1,14_1.png,0.8640,0.6536,0.7442
2,14_2.png,0.8683,0.8204,0.8437
3,14_3.png,0.8441,0.6141,0.7109
4,15_0.png,0.8774,0.7183,0.7900
5,15_1.png,0.9295,0.7419,0.8252
6,15_2.png,0.8208,0.6781,0.7426
7,15_3.png,0.6055,0.6518,0.6278
8,16_0.png,0.8947,0.5807,0.7043
9,16_1.png,0.9859,0.6235,0.7639
10,1_0.png,0.7727,0.6146,0.6846
11,1_1.png,0.8391,0.7126,0.7707
12,1_2.png,0.9170,0.6006,0.7258
13,1_3.png,0.9280,0.7309,0.8177
14,24_0.png,0.7727,0.6573,0.7103
15,24_1.png,0.8055,0.7959,0.8007
16,24_2.png,0.7392,0.5600,0.6372
17,24_3.png,0.9187,0.6625,0.7699
18,25_0.png,0.8589,0.6854,0.7624
19,25_1.png,0.6013,0.7577,0.6705
20,25_2.png,0.9356,0.5468,0.6902
21,25_3.png,0.9517,0.6205,0.7512
22,26_0.png,0.8188,0.5598,0.6649
23,26_1.png,0.9625,0.7125,0.8188
24,2_0.png,0.7540,0.8245,0.7877
25,2_1.png,0.6473,0.8951,0.7513
26,2_2.png,0.6802,0.6170,0.6471
27,2_3.png,0.6838,0.6703,0.6770
28,37_0.png,0.8811,0.6814,0.7685
29,37_1.png,0.9017,0.6722,0.7702
30,37_2.png,0.8000,0.6597,0.7231
31,37_3.png,1.0000,0.5395,0.7009
32,38_0.png,0.6069,0.5970,0.6019
33,38_1.png,0.7361,0.7201,0.7280
34,38_2.png,0.8797,0.7552,0.8127
35,38_3.png,0.8105,0.7567,0.7827
36,39_0.png,0.6309,0.6555,0.6430
37,39_1.png,0.8607,0.8851,0.8727
38,3_0.png,0.9819,0.4990,0.6617
39,3_1.png,0.9000,0.5505,0.6832
40,41_0.png,0.8644,0.7836,0.8220
41,41_1.png,0.8453,0.5821,0.6894
42,41_2.png,0.9347,0.5688,0.7072
43,41_3.png,0.7374,0.7796,0.7580
44,42_0.png,0.7430,0.7787,0.7604
45,42_1.png,0.9337,0.7386,0.8248
46,42_2.png,0.9072,0.6421,0.7520
47,42_3.png,0.8549,0.7789,0.8152
48,43_0.png,0.8901,0.5134,0.6512
49,43_1.png,0.7094,0.7731,0.7399
