,name,R,P,Dice
0,14_0.png,0.6977,0.7764,0.7350
1,14_1.png,0.7627,0.2746,0.4038
2,14_2.png,0.8013,0.8994,0.8475
3,14_3.png,0.8881,0.0997,0.1793
4,15_0.png,0.6314,0.3402,0.4421
5,15_1.png,0.7782,0.5415,0.6386
6,15_2.png,0.7925,0.5259,0.6322
7,15_3.png,0.6730,0.6114,0.6407
8,16_0.png,0.9518,0.2003,0.3310
9,16_1.png,0.9385,0.1580,0.2705
10,1_0.png,0.6529,0.4303,0.5187
11,1_1.png,0.8544,0.3770,0.5231
12,1_2.png,0.6773,0.3107,0.4260
13,1_3.png,0.8579,0.5019,0.6333
14,24_0.png,0.8618,0.4603,0.6001
15,24_1.png,0.8124,0.5869,0.6815
16,24_2.png,0.7286,0.2577,0.3808
17,24_3.png,0.7615,0.7369,0.7490
18,25_0.png,0.7859,0.4581,0.5788
19,25_1.png,0.6090,0.2491,0.3536
20,25_2.png,0.8877,0.3880,0.5399
21,25_3.png,0.9045,0.5207,0.6609
22,26_0.png,0.6057,0.2059,0.3074
23,26_1.png,0.9371,0.5769,0.7142
24,2_0.png,0.8414,0.7712,0.8047
25,2_1.png,0.5949,0.6588,0.6252
26,2_2.png,0.8534,0.1952,0.3178
27,2_3.png,0.7237,0.3051,0.4292
28,37_0.png,0.8108,0.4409,0.5712
29,37_1.png,0.7985,0.2364,0.3648
30,37_2.png,0.6494,0.1200,0.2026
31,37_3.png,0.3415,0.0571,0.0979
32,38_0.png,0.8903,0.2067,0.3355
33,38_1.png,0.7663,0.2313,0.3553
34,38_2.png,0.6032,0.1990,0.2992
35,38_3.png,0.7643,0.4211,0.5430
36,39_0.png,0.4705,0.2898,0.3587
37,39_1.png,0.6759,0.5640,0.6149
38,3_0.png,0.9859,0.1314,0.2319
39,3_1.png,0.8379,0.1784,0.2942
40,41_0.png,0.6228,0.2488,0.3556
41,41_1.png,0.6946,0.3281,0.4457
42,41_2.png,0.6434,0.0497,0.0923
43,41_3.png,0.6798,0.3946,0.4994
44,42_0.png,0.6733,0.2693,0.3848
45,42_1.png,0.8971,0.2370,0.3750
46,42_2.png,0.8801,0.5253,0.6579
47,42_3.png,0.7284,0.7197,0.7240
48,43_0.png,0.7696,0.0733,0.1338
49,43_1.png,0.6150,0.2431,0.3485
