,name,R,P,Dice
0,14_0.png,0.8394,0.8388,0.8391
1,14_1.png,0.8468,0.6437,0.7314
2,14_2.png,0.7943,0.8894,0.8391
3,14_3.png,0.8305,0.2588,0.3947
4,15_0.png,0.9544,0.6096,0.7440
5,15_1.png,0.8703,0.5657,0.6857
6,15_2.png,0.7272,0.5507,0.6268
7,15_3.png,0.6132,0.5782,0.5952
8,16_0.png,0.9059,0.4088,0.5634
9,16_1.png,0.9834,0.3645,0.5319
10,1_0.png,0.7498,0.4507,0.5630
11,1_1.png,0.2316,0.3181,0.2681
12,1_2.png,0.8332,0.4261,0.5638
13,1_3.png,0.9095,0.7049,0.7942
14,24_0.png,0.7565,0.6587,0.7042
15,24_1.png,0.8780,0.8100,0.8426
16,24_2.png,0.6887,0.5848,0.6325
17,24_3.png,0.7507,0.6800,0.7136
18,25_0.png,0.9496,0.4849,0.6420
19,25_1.png,0.9454,0.7822,0.8561
20,25_2.png,0.9027,0.4996,0.6432
21,25_3.png,0.9363,0.6377,0.7587
22,26_0.png,0.7901,0.7978,0.7939
23,26_1.png,0.9171,0.6872,0.7857
24,2_0.png,0.6001,0.7306,0.6590
25,2_1.png,0.6708,0.6511,0.6608
26,2_2.png,0.9346,0.2421,0.3846
27,2_3.png,0.6949,0.7975,0.7426
28,37_0.png,0.7984,0.6232,0.7000
29,37_1.png,0.9828,0.4988,0.6617
30,37_2.png,0.6949,0.5637,0.6224
31,37_3.png,0.0000,0.0000,0.0000
32,38_0.png,0.6167,0.4582,0.5258
33,38_1.png,0.6868,0.3770,0.4868
34,38_2.png,0.8415,0.6404,0.7273
35,38_3.png,0.8882,0.4997,0.6396
36,39_0.png,0.8738,0.5876,0.7027
37,39_1.png,0.8447,0.8468,0.8457
38,3_0.png,0.9056,0.4374,0.5899
39,3_1.png,0.8697,0.5022,0.6367
40,41_0.png,0.8044,0.6214,0.7011
41,41_1.png,0.8469,0.4234,0.5646
42,41_2.png,0.8159,0.2598,0.3941
43,41_3.png,0.8058,0.7097,0.7547
44,42_0.png,0.8719,0.7769,0.8216
45,42_1.png,0.9268,0.4854,0.6371
46,42_2.png,0.7805,0.6079,0.6835
47,42_3.png,0.8404,0.8519,0.8461
48,43_0.png,0.4228,0.1842,0.2566
49,43_1.png,0.9228,0.5660,0.7016
